Query	Hit	E-value	Coverage (%)	Identity (%)
SPAC977.08	AT5G10050.1 	1.64134e-23	69	33
SPAC977.14c	AT1G60680.1 	6.35258e-33	96	30
SPAC977.15	AT3G23600.1 	5.08506e-14	89	25
SPAC977.16c	AT1G48430.1 	6.04292e-86	96	35
SPAC1F8.01	AT3G19940.1 	1.38052e-49	84	27
SPAC1F8.07c	AT5G01330.1 	7.05765e-156	98	43
SPAC11D3.06	AT2G34360.1 	2.71338e-72	97	35
SPAC11D3.08c	AT2G01170.1 	5.81212e-33	87	26
SPAC11D3.09	AT4G08870.1 	1.31547e-18	76	26
SPAC11D3.10	AT1G08490.1 	2.44646e-22	82	30
SPAC11D3.14c	AT5G37830.1 	0.0	99	51
SPAC11D3.15	AT5G37830.1 	0.0	97	52
SPAC5H10.03	AT1G58280.3 	1.17474e-15	90	34
SPAC5H10.04	AT1G76690.1 	4.30776e-66	96	37
SPAC5H10.08c	AT5G48840.1 	6.7128e-60	99	41
SPAC5H10.09c	AT2G46110.1 	3.04237e-57	98	37
SPAC5H10.10	AT1G76680.1 	2.24348e-65	94	36
SPAC5H10.11	AT4G37690.1 	1.50968e-10	51	25
SPAC5H10.12c	AT1G60450.1 	1.6249e-10	54	28
SPAC5H10.13c	AT4G37690.1 	1.57211e-12	59	27
SPAC13G6.01c	AT5G22750.1 	1.55906e-151	81	34
SPAC13G6.02c	AT4G34670.1 	2.41557e-103	88	63
SPAC13G6.04	AT5G50810.1 	1.87268e-08	85	33
SPAC13G6.06c	AT2G26080.1 	0.0	96	52
SPAC13G6.07c	AT5G10360.1 	1.66274e-80	99	58
SPAC13G6.08	AT5G26900.1 	1.39653e-43	70	32
SPAC13G6.11c	AT5G27450.3 	1.52917e-21	76	34
SPAC13G6.14	AT1G73540.1 	2.26368e-16	79	33
SPAC24B11.05	AT3G62040.1 	7.3896e-30	95	36
SPAC24B11.06c	AT3G45640.1 	7.51202e-119	97	50
SPAC24B11.08c	AT1G36050.2 	2.76778e-73	98	36
SPAC24B11.09	AT4G22310.1 	2.41277e-26	77	45
SPAC24B11.11c	AT5G09890.1 	2.55458e-77	73	34
SPAC24B11.12c	AT1G59820.1 	0.0	75	38
SPAC24B11.13	AT5G08280.1 	2.76061e-43	82	37
SPAC806.03c	AT3G56340.1 	9.00987e-38	84	69
SPAC806.06c	AT5G55810.1 	1.82238e-48	61	38
SPAC806.07	AT4G09320.1 	7.8418e-58	99	54
SPAC1F5.10	AT3G19760.1 	0.0	96	71
SPAC1F5.07c	AT5G14220.1 	3.95341e-19	99	25
SPAC1F5.03c	AT5G67290.1 	4.07485e-31	93	31
SPAC1F5.02	AT1G77510.1 	5.18775e-74	93	36
SPAC18B11.09c	AT3G13110.1 	3.30579e-13	68	33
SPAC18B11.07c	AT1G14400.2 	5.31831e-71	100	70
SPAC18B11.05	AT1G11880.1 	5.56883e-17	50	30
SPAC18B11.04	AT5G55990.1 	5.06818e-16	88	33
SPAC18B11.02c	AT5G51140.1 	1.28993e-73	93	36
SPAC12G12.14c	AT5G13480.1 	1.27138e-114	76	43
SPAC12G12.08	AT1G05190.1 	2.38924e-30	87	32
SPAC12G12.06c	AT5G22100.1 	2.1845e-72	98	42
SPAC12G12.05c	AT1G54140.1 	3.23794e-27	71	42
SPAC12G12.04	AT3G23990.1 	0.0	96	56
SPAC12G12.02	AT1G04230.1 	1.49222e-12	74	33
SPAC630.03	AT1G13180.1 	2.16743e-158	97	57
SPAC630.05	AT5G52580.1 	4.55384e-71	90	30
SPAC630.08c	AT1G07420.1 	1.85366e-59	86	38
SPAC630.09c	AT1G80380.3 	2.3084e-52	91	39
SPAC630.11	AT1G32410.5 	1.54489e-15	89	35
SPAC630.12	AT1G53710.2 	1.17617e-41	78	30
SPAC1751.02c	ATCG00820.1 	1.27958e-10	50	48
SPAC1751.03	AT5G15610.2 	1.05031e-24	78	26
SPAC31A2.02	AT1G78190.1 	8.06495e-26	100	36
SPAC31A2.04c	AT4G14800.1 	9.01638e-52	98	41
SPAC31A2.07c	AT1G77030.1 	1.51138e-148	81	42
SPAC31A2.09c	AT5G46630.1 	4.60082e-105	99	36
SPAC31A2.14	AT3G05090.2 	2.20406e-50	54	30
SPAC31A2.15c	AT2G44580.1 	9.42427e-07	81	25
SPAC13C5.01c	AT3G22110.1 	2.31954e-102	98	57
SPAC13C5.04	AT2G23960.1 	5.97962e-22	94	28
SPAC13C5.05c	AT5G18070.1 	6.05095e-137	98	46
SPAC13C5.07	AT5G54260.1 	5.01574e-116	77	41
SPAC24H6.13	AT3G21620.1 	3.12156e-33	71	24
SPAC24H6.12c	AT5G19180.1 	3.81363e-103	84	42
SPAC24H6.07	AT5G15200.1 	2.47425e-82	83	71
SPAC24H6.04	AT4G29130.1 	1.75415e-81	89	37
SPAC24H6.03	AT1G69670.1 	5.35107e-150	96	37
SPAC24H6.01c	AT1G57600.1 	1.34907e-87	83	36
SPAC227.01c	AT5G35730.1 	7.72229e-24	84	31
SPAC227.03c	AT5G66380.1 	2.09269e-30	92	29
SPAC227.05	AT1G08780.1 	3.64946e-07	98	31
SPAC227.06	AT5G27490.1 	5.66749e-17	79	29
SPAC227.07c	AT1G17720.2 	3.15959e-162	97	56
SPAC227.08c	AT1G30460.2 	4.64003e-20	60	39
SPAC227.09	AT5G41480.1 	1.85202e-32	97	32
SPAC227.10	AT3G22480.1 	4.79546e-21	97	33
SPAC227.11c	AT5G35080.1 	2.14172e-14	55	27
SPAC227.12	AT2G41500.1 	1.42678e-97	91	40
SPAC227.13c	AT4G04080.1 	4.34783e-62	73	63
SPAC227.14	AT1G03030.1 	4.53355e-38	93	37
SPAC227.16c	AT3G55490.1 	2.39512e-13	61	36
SPAC227.17c	AT4G25315.2 	2.77915e-07	62	34
SPAC2F7.02c	AT5G11860.4 	7.53547e-43	52	44
SPAC2F7.05c	AT1G77840.1 	4.12336e-50	94	36
SPAC2F7.06c	AT1G10520.1 	5.53916e-25	60	28
