Query	Hit	E-value	Coverage (%)	Identity (%)
AT1G50920.1	SPBC651.01c	0.0	98	15
AT1G77370.1	SPAC4F10.20	1.84039e-24	70	13
AT1G09400.1	SPAC5H10.04	5.02312e-60	99	13
AT1G50940.1	SPAC27D7.06	4.52805e-69	71	14
AT1G15960.1	SPAC27F1.08	3.55072e-61	71	12
AT1G14980.1	SPCC550.06c	5.66744e-30	95	17
AT1G77510.1	SPAC1F5.02	4.35117e-70	88	12
AT1G51350.1	SPAC26H5.04	9.68307e-20	68	9
AT1G80410.1	SPCC338.07c	2.92276e-141	78	12
AT1G12640.1	SPBC16A3.10	1.85225e-43	96	9
AT1G09770.1	SPAC644.12	1.17036e-121	93	13
AT1G75200.1	SPCC1020.08	1.08611e-154	95	14
AT1G09760.1	SPBC1861.08c	2.71776e-30	92	13
AT1G09795.1	SPAC25G10.05c	6.01919e-21	65	10
AT1G77470.1	SPAC27E2.10c	9.55351e-109	90	16
AT1G65950.1	SPBC15C4.02	4.57499e-55	76	10
AT1G09630.1	SPAC18G6.03	2.52092e-103	95	22
AT1G74920.1	SPCC550.10	3.86372e-141	96	15
AT1G09580.1	SPAC23H4.03c	6.05762e-20	91	9
AT1G42440.1	SPAC23H4.15	1.13383e-93	98	10
AT1G43860.1	SPAC4F8.03	7.40475e-60	63	14
AT1G51130.1	SPBC20F10.04c	1.17367e-15	68	7
AT1G09620.1	SPAC26F1.13c	0.0	98	15
AT1G31812.1	SPBC1539.06	1.06824e-18	81	14
AT1G51060.1	SPAC19G12.06c	2.76834e-48	88	25
AT1G51310.1	SPAC23H4.04	3.17304e-47	74	10
AT1G21065.1	SPAC4A8.02c	2.60317e-44	63	17
AT1G65650.1	SPBC409.06	4.23214e-80	94	14
AT1G65660.1	SPBC365.05c	1.15513e-46	60	11
AT1G73820.1	SPAC3G9.04	4.65028e-61	96	14
AT1G73540.1	SPAC13G6.14	9.91809e-11	67	13
AT1G09690.1	SPAC959.08	2.15607e-54	93	17
AT1G09480.1	SPAC513.07	7.10453e-41	72	11
AT1G69190.1	SPBC1734.03	3.72689e-83	96	12
